epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0198,1.33815,5.17072,1.55327,0.71156,0.75,0.62917,0.41388,0.97374,5.78581,1.17353,2e-05,2e-05,2e-05
2,87.2173,1.51133,4.90927,1.74012,0.98201,1,0.995,0.83932,0.729,3.47274,1.04512,5.7624e-05,5.7624e-05,5.7624e-05
3,115.386,0.97362,3.63564,1.33188,0.9808,1,0.995,0.82932,0.59759,2.53056,0.90419,9.208e-05,9.208e-05,9.208e-05
4,138.458,1.15126,3.35733,1.4252,0.98675,1,0.995,0.62371,0.65302,3.12047,0.79824,0.000123368,0.000123368,0.000123368
5,153.091,0.99687,3.59653,1.35248,0.98148,1,0.995,0.80838,0.74244,2.48737,0.7828,0.000151488,0.000151488,0.000151488
6,168.508,1.09125,2.22457,1.19396,0.98225,1,0.995,0.86425,0.63061,2.44258,0.76266,0.00017644,0.00017644,0.00017644
7,184.059,1.10268,2.55671,1.26046,0.98411,1,0.995,0.85194,0.64995,2.41439,0.76596,0.000198224,0.000198224,0.000198224
8,198.66,1.25089,2.41482,1.18217,0.99329,1,0.995,0.76482,0.77555,2.90401,0.79689,0.00021684,0.00021684,0.00021684
9,215.74,1.07574,1.89658,1.18587,1,0.98968,0.995,0.90169,0.60164,3.35333,0.7478,0.000232288,0.000232288,0.000232288
10,231.456,0.89815,1.72642,1.00262,0.97634,0.75,0.945,0.77225,0.82969,3.44587,0.81685,0.000244568,0.000244568,0.000244568
11,246.553,1.05367,1.40336,1.10603,1,0.98144,0.995,0.771,0.8544,3.2959,0.80606,0.00025368,0.00025368,0.00025368
12,261.355,0.91007,1.30413,1.1257,1,0.99865,0.995,0.80219,0.89202,3.43443,0.82562,0.000259624,0.000259624,0.000259624
13,275.256,1.02747,1.46137,1.15282,1,0.99933,0.995,0.76106,0.97457,3.85743,0.88733,0.0002624,0.0002624,0.0002624
14,288.989,0.89649,1.47286,1.00038,0.98552,1,0.995,0.76929,0.93553,4.21118,0.86267,0.000262008,0.000262008,0.000262008
15,303.011,0.92688,1.28317,1.11099,1,0.98824,0.995,0.69857,1.17063,4.24103,1.02803,0.000258448,0.000258448,0.000258448
16,317.207,0.84228,1.70647,1.11137,1,0.99044,0.995,0.62131,1.09725,3.90989,1.08215,0.00025172,0.00025172,0.00025172
17,331.669,0.90146,1.32241,1.01345,1,0.98684,0.995,0.65462,1.07591,3.62354,1.11554,0.000241824,0.000241824,0.000241824
18,345.322,0.86956,1.52904,1.10445,1,0.98136,0.995,0.65462,1.09095,3.22826,1.13705,0.00022876,0.00022876,0.00022876
19,359.041,0.83006,1.41848,1.02683,1,0.99367,0.995,0.65462,1.05347,2.97092,1.04386,0.000212528,0.000212528,0.000212528
20,373.323,0.89884,1.16658,1.08632,0.99024,1,0.995,0.79563,0.86719,2.68756,0.8342,0.000193128,0.000193128,0.000193128
21,386.909,0.8014,0.98799,0.94051,0.99075,1,0.995,0.82056,0.80544,2.32697,0.7891,0.00017056,0.00017056,0.00017056
22,400.602,0.72248,1.05145,0.95316,0.99469,1,0.995,0.83308,0.7802,2.16799,0.78483,0.000144824,0.000144824,0.000144824
23,414.669,0.74501,1.0014,0.99834,0.99498,1,0.995,0.83927,0.76356,2.05112,0.78755,0.00011592,0.00011592,0.00011592
24,430.711,0.6963,1.36446,1.0429,0.99167,1,0.995,0.82702,0.75236,1.83867,0.78277,8.3848e-05,8.3848e-05,8.3848e-05
25,446.279,0.66679,0.9593,0.94898,0.98921,1,0.995,0.86425,0.74163,1.64019,0.77641,4.8608e-05,4.8608e-05,4.8608e-05
